group,run,seed,step,naulc
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,44,0.18647881355932205
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,45,0.19892881355932204
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,46,0.2124033898305085
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,47,0.225335593220339
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,48,0.23824237288135594
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,49,0.2517703389830509
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,50,0.2649728813559322
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,51,0.2782084745762712
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,52,0.29179406779661016
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,53,0.30531610169491524
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,54,0.3186389830508475
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,55,0.33174745762711866
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,56,0.34468898305084744
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,57,0.3578067796610169
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,58,0.37103050847457625
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,59,0.38456440677966097
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,60,0.3979364406779661
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,1,0.0
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,2,0.0011762711864406778
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,3,0.0023728813559322033
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,4,0.003577966101694915
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,5,0.004749152542372881
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,6,0.0059101694915254235
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,7,0.007388135593220338
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,8,0.009216101694915255
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,9,0.010939830508474576
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,10,0.012606779661016948
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,11,0.014378813559322032
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,12,0.016145762711864405
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,13,0.01784830508474576
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,14,0.019589830508474574
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,15,0.021389830508474574
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,16,0.02325508474576271
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,17,0.02539745762711864
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,18,0.027781355932203385
TD3,run-20260622_025851-vc8eettjrkns0ask0j149,512,19,0.030020338983050843
