algorithm,seed,episode,day,dscr,dscr_below_1
Transformer+GAIL+TD3,192,5893,38,3.4485791278784905,0
Transformer+GAIL+TD3,192,5893,39,3.301113422243974,0
Transformer+GAIL+TD3,192,5893,40,5.827515319233051,0
Transformer+GAIL+TD3,192,5893,41,14.679972151311206,0
Transformer+GAIL+TD3,192,5893,42,2.8890136160482283,0
Transformer+GAIL+TD3,192,5893,43,131.3439065108514,0
Transformer+GAIL+TD3,192,5893,44,4.292228571428572,0
Transformer+GAIL+TD3,192,5893,45,3.593130943976078,0
Transformer+GAIL+TD3,192,5893,46,2.4449514598407442,0
Transformer+GAIL+TD3,192,5893,47,4.289738675428188,0
Transformer+GAIL+TD3,192,5893,48,6.207071701382053,0
Transformer+GAIL+TD3,192,5893,49,154.2076086956522,0
Transformer+GAIL+TD3,192,5893,50,2.5753704998550404,0
Transformer+GAIL+TD3,192,5893,51,4.9436165534763274,0
Transformer+GAIL+TD3,192,5893,52,4.3532069541302425,0
Transformer+GAIL+TD3,192,5893,53,4.3082095902066815,0
Transformer+GAIL+TD3,192,5893,54,4.2167862578821484,0
Transformer+GAIL+TD3,192,5893,55,13.004541183839649,0
Transformer+GAIL+TD3,192,5893,56,5.990218537507728,0
Transformer+GAIL+TD3,192,5893,57,2.8328050267279368,0
Transformer+GAIL+TD3,192,5893,58,4.532109508988121,0
Transformer+GAIL+TD3,192,5893,59,6.311524223402543,0
Transformer+GAIL+TD3,192,5893,60,2.8848639958001114,0
Transformer+GAIL+TD3,192,5893,61,13.20492342384666,0
Transformer+GAIL+TD3,192,5893,62,3.2995778910481044,0
Transformer+GAIL+TD3,192,5893,63,3.2772983201033785,0
Transformer+GAIL+TD3,192,5893,64,3.7073526142903015,0
Transformer+GAIL+TD3,192,5893,65,3.9471704523393516,0
Transformer+GAIL+TD3,192,5893,66,3.6214017906533638,0
Transformer+GAIL+TD3,192,5893,67,4.1633449330380685,0
Transformer+GAIL+TD3,192,5893,68,4.333989251407051,0
Transformer+GAIL+TD3,192,5893,69,7.734242804517669,0
Transformer+GAIL+TD3,192,5893,70,2.737639205417899,0
Transformer+GAIL+TD3,192,5893,71,2.8821359564377302,0
Transformer+GAIL+TD3,192,5893,72,6.438555392874574,0
Transformer+GAIL+TD3,192,5893,73,2.391726912679952,0
Transformer+GAIL+TD3,192,5893,74,182.0936170212766,0
Transformer+GAIL+TD3,192,5893,75,4.994802619720002,0
Transformer+GAIL+TD3,192,5893,76,6.502534665275085,0
Transformer+GAIL+TD3,192,5893,77,5.246351343301365,0
Transformer+GAIL+TD3,192,5893,78,2.534827041179523,0
Transformer+GAIL+TD3,192,5893,79,6.327670740970927,0
Transformer+GAIL+TD3,192,5893,80,5.446863997913679,0
Transformer+GAIL+TD3,192,5893,81,9.861722327711382,0
Transformer+GAIL+TD3,192,5893,82,7.262977022977023,0
Transformer+GAIL+TD3,192,5893,83,2.000833993138031,0
Transformer+GAIL+TD3,192,5893,84,7.093571216680086,0
Transformer+GAIL+TD3,192,5893,85,4.42167510237302,0
Transformer+GAIL+TD3,192,5893,86,5.425115315824154,0
Transformer+GAIL+TD3,192,5893,87,32.26350337584396,0
Transformer+GAIL+TD3,192,5893,88,5.576507004499473,0
Transformer+GAIL+TD3,192,5893,89,2.7386637053488805,0
Transformer+GAIL+TD3,192,5893,90,3.2059465507437777,0
Transformer+GAIL+TD3,192,5893,91,4.743744781319283,0
Transformer+GAIL+TD3,192,5893,92,7.00516917293233,0
Transformer+GAIL+TD3,192,5893,93,36.9265221878225,0
Transformer+GAIL+TD3,192,5893,94,2.8584011561572984,0
Transformer+GAIL+TD3,192,5893,95,2.1821645122359064,0
Transformer+GAIL+TD3,192,5893,96,7.166666666666667,0
Transformer+GAIL+TD3,192,5893,97,3.112517850301278,0
Transformer+GAIL+TD3,192,5893,98,122.83907125700559,0
Transformer+GAIL+TD3,192,5895,5,3.4570667193051716,0
Transformer+GAIL+TD3,192,5895,6,15.20501138952164,0
Transformer+GAIL+TD3,192,5895,7,148.431151241535,0
Transformer+GAIL+TD3,192,5895,8,18.398218496201203,0
Transformer+GAIL+TD3,192,5895,9,8.231704999049612,0
Transformer+GAIL+TD3,192,5895,10,11.770587621333888,0
Transformer+GAIL+TD3,192,5895,11,5.063200127115278,0
Transformer+GAIL+TD3,192,5895,12,5.957189390414145,0
Transformer+GAIL+TD3,192,5895,13,47.785135135135135,0
Transformer+GAIL+TD3,192,5895,14,18.372023809523807,0
Transformer+GAIL+TD3,192,5895,15,20.434892541087233,0
